,exchange,account,symbol,markPrice,positionAmt,positionValue,symbol_pair,forcePrice,数量对冲-VolumeHedge,市值对冲-MarketCapHedge
133,Binance,BinanceA,ONT,0.18080169,8833.9,1597.1840492909998,ONT-USDT,,8833.9,1597.1840492909998
5,Coinex,Coinex,QTUM,2.1562,500.0,1078.1000000000001,QTUM-USDT,,0.0,0.6000000000001364
257,Bybit,Bybit,QTUM,2.155,-500.0,-1077.5,QTUM-USDT,173.335,0.0,0.6000000000001364
6,Coinex,Coinex,SOL,14.4,-4602.0,-66268.8,SOL-USDT,,0.0,-88.43423944000642
60,Binance,BinanceA,SOL,14.38096268,3850.0,55366.706318,SOL-BUSD,,0.0,-88.43423944000642
120,Binance,BinanceK,SOL,14.37986628,752.0,10813.65944256,SOL-BUSD,,0.0,-88.43423944000642
304,Bybit,Bybit,STX,0.229,505.0,115.64500000000001,STX-USDT,0.001,0.0,-0.15149999999999864
17,Gate,Gate,STX,0.2293,-505.0,-115.79650000000001,STX-USDT,,0.0,-0.15149999999999864
7,Coinex,Coinex,THETA,0.8864,1474.0,1306.5536,THETA-USDT,,1474.0,1306.5536
0,Okx,Okx,UNI,5.453,893.0,4869.529,UNI-USDT,,893.0,4869.529
5,Binance,BinanceA,WAVES,2.20755191,5.0,11.037759549999999,WAVES-USDT,,5.0,11.037759549999999
371,Binance,BinanceK,XEM,0.03440262,-401400.0,-13809.211668,XEM-USDT,,-131270.0,-4516.2469679999995
339,Bybit,Bybit,XEM,0.0344,319400.0,10987.36,XEM-USDT,0.0001,-131270.0,-4516.2469679999995
19,Gate,Gate,XEM,0.03439,-49270.0,-1694.3953,XEM-USDT,,-131270.0,-4516.2469679999995
51,Gate,Gate,XMR,135.64,-11.74,-1592.4135999999999,XMR-USDT,,-11.74,-1592.4135999999999
87,Binance,BinanceA,XRP,0.38730153,-348.0,-134.78093244000002,XRP-BUSD,,-348.0,-134.78093244000002
7,Binance,BinanceA,XTZ,1.00186307,-1389.8,-1392.3892946859999,XTZ-USDT,,-1389.8,-1392.3892946859999
2,Okx,Okx,YFI,6124.0,0.5287000000000001,3237.7588000000005,YFI-USDT,,0.5287000000000001,3237.7588000000005
4,Okx,Okx,YFII,1229.7,-0.908,-1116.5676,YFII-USDT,,-0.908,-1116.5676
50,Gate,Gate,ZRX,0.2035,-4112.0,-836.7919999999999,ZRX-USDT,,-4112.0,-836.7919999999999
