,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
65,HBARUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1632166685201.0,0.0,0.0
66,ZECUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,150000.0,BOTH,0.0,0.0,0.0,1628352056547.0,0.0,0.0
67,GALAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1640859643191.0,0.0,0.0
68,GTCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
69,ALGOUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1653731320419.0,0.0,0.0
70,LRCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
71,STGUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
72,ARPAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638597860573.0,0.0,0.0
73,CELOUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
74,PHBBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
75,QNTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
76,1INCHUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1646634627175.0,0.0,0.0
77,LINAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1628848467480.0,0.0,0.0
78,ARUSDT,4192.57383033,557.77212394,-160.16784793,4192.57383033,0.0,6.0,0.0,9.943223260429,100000.0,BOTH,-2513.8,-25155.44247892,0.0,1658233437295.0,0.0,0.0
79,FILUSDT,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1650429242317.0,0.0,0.0
80,SOLUSDT,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1668179887106.0,0.0,0.0
81,BLZUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1632328932605.0,0.0,0.0
82,GMTUSDT,1581.2,79.06,10384.6872,1581.2,0.0,5.0,0.0,0.9145343642788,500000.0,BOTH,-20000.0,-7906.0,0.0,1656683388408.0,0.0,0.0
83,APTBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
84,LDOBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
85,BANDUSDT,49.95738934,24.97869467,-3.15308551,49.95738934,0.0,20.0,0.0,1.993584275807,25000.0,BOTH,-499.6,-999.1477868,0.0,1668155551394.0,0.0,0.0
86,LDOUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
87,XRPBUSD,48.279896,3.110772,-3.76363948,6.221544,42.058352,20.0,0.0,0.3715124483498,100000.0,BOTH,-324.8,-124.43088,0.0,1668714544470.0,109.21168,841.16704
88,XRPUSDT,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1645654577164.0,0.0,0.0
89,FTTUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,200000.0,BOTH,0.0,0.0,0.0,1668357941863.0,0.0,0.0
90,CRVUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1615408439124.0,0.0,0.0
91,BELUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
92,DOTUSDT,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1631239148173.0,0.0,0.0
93,GMTBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
94,ONEUSDT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5000000.0,BOTH,0.0,0.0,0.0,1658765623180.0,0.0,0.0
95,APTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
96,ANKRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
97,RAYUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1640172777632.0,0.0,0.0
98,API3USDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1654240556783.0,0.0,0.0
99,CVCUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638597481134.0,0.0,0.0
100,FTMBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
101,LINKBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
102,SANDBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
103,HOTUSDT,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1631030028836.0,0.0,0.0
104,QTUMUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
105,IOTAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1646998142086.0,0.0,0.0
106,BTCBUSD,3747.15528473,14.98862113,-1214.15801526,3747.15528473,0.0,1.0,0.0,22148.72008929,1000000000.0,BOTH,0.224,3747.15528473,0.0,1658235170910.0,0.0,0.0
107,ADAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1653634013381.0,0.0,0.0
108,LITUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1653734143127.0,0.0,0.0
109,UNIBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
110,YFIUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1645683711905.0,0.0,0.0
111,FTTBUSD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1500000.0,BOTH,0.0,0.0,0.0,1668181845072.0,0.0,0.0
112,ETHUSDT,454.56305354,102.27665125,6519.93142985,454.56305354,0.0,45.0,0.0,1603.284498067,250000.0,BOTH,-16.825,-20455.33025,0.0,1663099427646.0,0.0,0.0
113,ALPHAUSDT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5000000.0,BOTH,0.0,0.0,0.0,1656851548634.0,0.0,0.0
114,WOOUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
115,SFPUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,15000.0,BOTH,0.0,0.0,0.0,1619713607365.0,0.0,0.0
116,RLCUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1630323284313.0,0.0,0.0
117,BTCSTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
118,1000XECUSDT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3000000.0,BOTH,0.0,0.0,0.0,1658946894821.0,0.0,0.0
119,AUDIOUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1634544852631.0,0.0,0.0
120,NEOUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1601480576353.0,0.0,0.0
121,UNFIUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1664755376400.0,0.0,0.0
122,SANDUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1641438061828.0,0.0,0.0
123,CTKUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1653575972940.0,0.0,0.0
124,LINKUSDT,233.8099781,19.75694235,-460.6687127,233.8099781,0.0,13.0,0.0,7.186527687096,250000.0,BOTH,487.05,3039.52959383,0.0,1668123433843.0,0.0,0.0
125,CELRUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1656082856706.0,0.0,0.0
126,RSRUSDT,883.554,195.8885,-5672.205,883.554,0.0,10.0,0.0,0.0069084593498,100000.0,BOTH,2100000.0,8835.54,0.0,1659108947360.0,0.0,0.0
