,symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
99,CVCUSDT,0.09316529,0.09315874,0.0930823,7.064e-05,0.0001,1668787200000.0,1668765956002.0
100,FTMBUSD,0.1797234,0.17980834,0.17962285,0.0001,0.0001,1668787200000.0,1668765956002.0
101,LINKBUSD,6.235,6.23729385,6.21550708,7.627e-05,0.0001,1668787200000.0,1668765956002.0
102,SANDBUSD,0.5849,0.58519143,0.58422084,-6.31e-06,0.0001,1668787200000.0,1668765956002.0
103,HOTUSDT,0.001564,0.00156344,0.00156227,0.0001,0.0001,1668787200000.0,1668765956002.0
104,QTUMUSDT,2.07,2.07066762,2.06651076,0.0001,0.0001,1668787200000.0,1668765956002.0
105,IOTAUSDT,0.21946851,0.21964161,0.21945275,0.0001,0.0001,1668787200000.0,1668765956002.0
106,BTCBUSD,16728.37180684,16739.77961182,16729.93274738,-6.165e-05,0.0001,1668787200000.0,1668765956002.0
107,ADAUSDT,0.3281,0.32823653,0.32788098,0.0001,0.0001,1668787200000.0,1668765956002.0
108,LITUSDT,0.709,0.70977439,0.71103991,6.016e-05,0.0001,1668787200000.0,1668765956002.0
109,UNIBUSD,6.009,6.00973178,5.99688277,5.305e-05,0.0001,1668787200000.0,1668765956002.0
110,YFIUSDT,6191.0,6193.80205331,6181.22054069,0.0001,0.0001,1668787200000.0,1668765956002.0
111,FTTBUSD,1.54035681,1.5403,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
112,ETHUSDT,1215.77,1216.2642643,1214.39577614,-7.193e-05,0.0001,1668787200000.0,1668765956002.0
113,ALPHAUSDT,0.08819,0.08826086,0.08821503,0.0001,0.0001,1668787200000.0,1668765956002.0
114,WOOUSDT,0.126,0.12605819,0.12549217,0.0001,0.0001,1668787200000.0,1668765956002.0
115,SFPUSDT,0.7675,0.76801888,0.76360177,-5.217e-05,0.0001,1668787200000.0,1668765956002.0
116,RLCUSDT,0.8876,0.8877054,0.88693341,0.0001,0.0001,1668787200000.0,1668765956002.0
117,BTCSTUSDT,6.28145061,6.28121895,6.2704465,0.0001,0.0001,1668787200000.0,1668765956002.0
118,1000XECUSDT,0.02865,0.02868678,0.02864258,0.0001,0.0001,1668787200000.0,1668765956002.0
119,AUDIOUSDT,0.15097199,0.15101939,0.15078352,0.0001,0.0001,1668787200000.0,1668765956002.0
120,NEOUSDT,6.68863901,6.68814567,6.68335211,0.0001,0.0001,1668787200000.0,1668765956002.0
121,UNFIUSDT,4.3300071,4.33389553,4.31525007,8.963e-05,0.0001,1668787200000.0,1668765956002.0
122,SANDUSDT,0.5854,0.5855631,0.58466344,0.0001,0.0001,1668787200000.0,1668765956002.0
123,CTKUSDT,0.75830626,0.75859957,0.75813318,0.0001,0.0001,1668787200000.0,1668765956002.0
124,LINKUSDT,6.24069314,6.24502681,6.2216942,8.717e-05,0.0001,1668787200000.0,1668765956002.0
125,CELRUSDT,0.01118221,0.01118596,0.01117464,0.0001,0.0001,1668787200000.0,1668765956002.0
126,RSRUSDT,0.0042074,0.00420709,0.00421793,0.0001,0.0001,1668787200000.0,1668765956002.0
127,ADABUSD,0.3278,0.32784932,0.32759849,7.278e-05,0.0001,1668787200000.0,1668765956002.0
128,RENUSDT,0.07756625,0.07756053,0.07756668,0.0001,0.0001,1668787200000.0,1668765956002.0
129,LPTUSDT,7.4307036,7.43172355,7.42270247,-0.00013898,0.0001,1668787200000.0,1668765956002.0
130,JASMYUSDT,0.004006,0.00401072,0.00400544,0.0001,0.0001,1668787200000.0,1668765956002.0
131,EGLDUSDT,43.65,43.65670825,43.63974856,0.0001,0.0001,1668787200000.0,1668765956002.0
132,LUNA2USDT,1.70762213,1.70951761,1.71366819,0.0001,0.0001,1668787200000.0,1668765956002.0
133,ONTUSDT,0.17299061,0.17297785,0.17258384,0.0001,0.0001,1668787200000.0,1668765956002.0
134,VETUSDT,0.01933122,0.01934836,0.01931708,0.0001,0.0001,1668787200000.0,1668765956002.0
135,IMXUSDT,0.4102,0.41023664,0.41051292,0.0001,0.0001,1668787200000.0,1668765956002.0
136,COTIUSDT,0.07222993,0.0721637,0.07206453,0.0001,0.0001,1668787200000.0,1668765956002.0
137,CVXUSDT,3.9285953,3.93915051,3.93454297,-0.00033357,0.0001,1668787200000.0,1668765956002.0
138,BAKEUSDT,0.179,0.17907992,0.17919194,0.0001,0.0001,1668787200000.0,1668765956002.0
139,GRTUSDT,0.06098374,0.06097924,0.06091666,0.0001,0.0001,1668787200000.0,1668765956002.0
140,FLMUSDT,0.0802,0.08019576,0.08016317,0.0001,0.0001,1668787200000.0,1668765956002.0
141,GALABUSD,0.02758155,0.02759735,0.02760143,-1.593e-05,0.0001,1668787200000.0,1668765956002.0
142,MASKUSDT,3.19236925,3.19450539,3.19714775,-5.201e-05,0.0001,1668787200000.0,1668765956002.0
143,EOSUSDT,0.91088944,0.91082225,0.91252642,0.0001,0.0001,1668787200000.0,1668765956002.0
144,BALUSDT,5.513,5.51498714,5.52382395,-0.00037501,0.0001,1668787200000.0,1668765956002.0
145,DENTUSDT,0.00068733,0.00068875,0.00068677,0.0001,0.0001,1668787200000.0,1668765956002.0
146,MATICBUSD,0.88695577,0.88768808,0.88615937,-5.534e-05,0.0001,1668787200000.0,1668765956002.0
