,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
160,ICPUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,3.827,3.82730766,3.83057336,0.0001,0.0001,1668787200000.0,1668765956002.0
161,1000LUNCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.1788,0.17892128,0.17823177,0.0001,0.0001,1668787200000.0,1668765956002.0
162,AVAXUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1640076154879.0,0.0,0.0,13.121,13.12690408,13.08353176,-8.82e-05,0.0001,1668787200000.0,1668765956002.0
163,ROSEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.04711,0.04715206,0.04704381,9.36e-05,0.0001,1668787200000.0,1668765956002.0
164,MATICUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1634032572797.0,0.0,0.0,0.8882,0.88829837,0.8868384,2.842e-05,0.0001,1668787200000.0,1668765956002.0
165,MKRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,657.6,658.05786839,654.87957502,-5.902e-05,0.0001,1668787200000.0,1668765956002.0
166,PEOPLEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1649088876109.0,0.0,0.0,0.02332397,0.02332225,0.02335449,0.0001,0.0001,1668787200000.0,1668765956002.0
167,ANCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.05604702,0.05604289,0.05608396,-0.00050203,0.0001,1668787200000.0,1668765956002.0
168,THETAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1652212251361.0,0.0,0.0,0.90808664,0.90810471,0.90523876,-2.072e-05,0.0001,1668787200000.0,1668765956002.0
169,UNIUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1646769138518.0,0.0,0.0,6.0140578,6.01420734,6.00204958,-5.954e-05,0.0001,1668787200000.0,1668765956002.0
170,RVNUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1631057121110.0,0.0,0.0,0.02148558,0.021484,0.0214576,0.0001,0.0001,1668787200000.0,1668765956002.0
171,NKNUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.07734878,0.07730396,0.0772276,0.0001,0.0001,1668787200000.0,1668765956002.0
172,KLAYUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1637040404238.0,0.0,0.0,0.17136472,0.17135208,0.17106647,0.0001,0.0001,1668787200000.0,1668765956002.0
173,DEFIUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1650541096145.0,0.0,0.0,539.2,539.62195672,538.62335146,-2.564e-05,0.0001,1668787200000.0,1668765956002.0
174,COMPUSDT,278.11002781,30.5921,-941.04540992,278.11002781,0.0,11.0,0.0,51.95136896104,25000.0,BOTH,77.0,3059.21,0.0,1667039483865.0,0.0,0.0,39.73,39.74531629,39.76819521,0.0001,0.0001,1668787200000.0,1668765956002.0
175,BTCDOMUSDT,4825.43860924,318.91577731,494.70980746,1575.66310924,3249.7755,10.0,0.0,1312.709281098,25000.0,BOTH,-12.38,-15756.63109243,0.0,1668044976621.0,0.0,32497.755,1272.74887661,1271.76761916,1273.10586327,0.000231,0.0001,1668787200000.0,1668765956002.0
176,BTCUSDT,105.79994,6.69836,-107.59731613,83.7295,22.07044,20.0,0.0,17821.87316135,1000000.0,BOTH,0.1,1674.59,0.0,1668730224199.0,441.4088,2700.93379,16745.9,16751.18407543,16741.07851749,6.995e-05,0.0001,1668787200000.0,1668765956002.0
177,OMGUSDT,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1668099429111.0,0.0,0.0,1.139,1.13977483,1.13779689,0.0001,0.0001,1668787200000.0,1668765956002.0
178,ICXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1614843090980.0,0.0,0.0,0.1543,0.15444614,0.1545172,0.0001,0.0001,1668787200000.0,1668765956002.0
179,ICPBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,3.823,3.82390629,3.8282182,0.0001,0.0001,1668787200000.0,1668765956002.0
180,FTMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1626849222530.0,0.0,0.0,0.18,0.18002375,0.17977307,0.0001,0.0001,1668787200000.0,1668765956002.0
181,1000SHIBBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.009133,0.00913232,0.00911532,0.0001,0.0001,1668787200000.0,1668765956002.0
182,AMBBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.01042652,0.01042589,0.01034943,0.0001,0.0001,1668787200000.0,1668765956002.0
183,DOGEBUSD,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1640861180985.0,0.0,0.0,0.08532498,0.08533371,0.08528129,0.0001,0.0001,1668787200000.0,1668765956002.0
184,SXPUSDT,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1668165989516.0,0.0,0.0,0.2465,0.24644276,0.24601158,0.0001,0.0001,1668787200000.0,1668765956002.0
185,XEMUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1618738676947.0,0.0,0.0,0.03179315,0.03185329,0.03184534,0.0001,0.0001,1668787200000.0,1668765956002.0
186,1000LUNCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.1788,0.17882254,0.1781269,0.0001,0.0001,1668787200000.0,1668765956002.0
187,ZILUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1609687263476.0,0.0,0.0,0.0215071,0.02150314,0.02147634,0.0001,0.0001,1668787200000.0,1668765956002.0
188,AXSUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1647897931379.0,0.0,0.0,7.197,7.19784846,7.1946335,6.918e-05,0.0001,1668787200000.0,1668765956002.0
189,DYDXUSDT,2972.20023777,267.498,-9412.5906,2972.20023777,0.0,9.0,0.0,1.375969000001,250000.0,BOTH,-12600.0,-26749.8,0.0,1667943392984.0,0.0,0.0,2.123,2.12386505,2.12131777,0.0001,0.0001,1668787200000.0,1668765956002.0
190,OCEANUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1628084535459.0,0.0,0.0,0.13083593,0.13082628,0.1307712,0.0001,0.0001,1668787200000.0,1668765956002.0
191,LEVERBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0010152,0.00101708,0.00101838,0.0001,0.0001,1668787200000.0,1668765956002.0
192,CHZUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1653576320852.0,0.0,0.0,0.24517654,0.24528392,0.24402378,0.0001,0.0001,1668787200000.0,1668765956002.0
193,DUSKUSDT,3665.44161672,36.65441616,1323.69710072,3665.44161672,0.0,1.0,0.0,0.1225561666953,3000000.0,BOTH,-40709.0,-3665.44161672,0.0,1655798783632.0,0.0,0.0,0.09004008,0.09023766,0.09015406,-0.00014188,0.0001,1668787200000.0,1668765956002.0
194,CTSIUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1652277398033.0,0.0,0.0,0.1031545,0.10321574,0.10346235,0.0001,0.0001,1668787200000.0,1668765956002.0
